Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Margin of Error,,(X),±29.4,±30.2,(X),±27.9,±26.0,(X),±10.1,±17.2,(X),**,**,(X),±58.1,±58.1,(X),**,**,(X),±12.6,±5.9,(X),±7.0,±13.0,(X),±12.0,±18.2
"Census Tract 19.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,739,739,714,556,556,547,"1,932","1,857",550,0,0,0,55,55,55,0,0,0,98,4,0,108,108,29,445,351,174
        Margin of Error,,±232,±232,±220,±125,±125,±127,±403,±406,±159,±13,±13,±13,±59,±59,±59,±13,±13,±13,±101,±7,±13,±112,±112,±26,±190,±241,±174
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,96.60%,(X),100.00%,98.40%,(X),96.10%,28.50%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),4.10%,0.00%,(X),100.00%,26.90%,(X),78.90%,39.10%
        Margin of Error,,(X),±5.3,±4.6,(X),±6.9,±3.0,(X),±2.8,±9.4,(X),**,**,(X),±44.4,±44.4,(X),**,**,(X),±9.9,±32.2,(X),±30.0,±35.3,(X),±26.2,±33.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,398,398,373,325,325,316,948,909,162,0,0,0,22,22,22,0,0,0,4,4,0,86,86,10,153,153,57
        Margin of Error,,±142,±142,±140,±124,±124,±128,±306,±311,±90,±13,±13,±13,±28,±28,±28,±13,±13,±13,±7,±7,±13,±106,±106,±16,±135,±135,±77
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.70%,(X),100.00%,97.20%,(X),95.90%,17.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,11.60%,(X),100.00%,37.30%
        Margin of Error,,(X),±9.6,±9.5,(X),±11.6,±5.6,(X),±4.6,±11.1,(X),**,**,(X),±70.1,±70.1,(X),**,**,(X),±100.0,±100.0,(X),±35.1,±29.4,(X),±22.7,±42.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,341,341,341,231,231,231,984,948,388,0,0,0,33,33,33,0,0,0,94,0,0,22,22,19,292,198,117
        Margin of Error,,±179,±179,±179,±69,±69,±69,±193,±188,±122,±13,±13,±13,±34,±34,±34,±13,±13,±13,±99,±13,±13,±21,±21,±21,±146,±174,±134
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),96.30%,39.40%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,86.40%,(X),67.80%,40.10%
        Margin of Error,,(X),±11.1,±11.1,(X),±15.8,±15.8,(X),±3.6,±12.0,(X),**,**,(X),±57.3,±57.3,(X),**,**,(X),±33.1,±33.1,(X),±70.1,±35.5,(X),±36.9,±37.3
"Census Tract 19.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,564,544,383,344,344,297,"1,025",957,414,0,0,0,24,20,16,0,0,0,166,86,14,40,40,20,396,296,102
        Margin of Error,,±228,±227,±139,±149,±149,±129,±177,±162,±95,±13,±13,±13,±19,±17,±12,±13,±13,±13,±109,±68,±16,±31,±31,±19,±225,±220,±98
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.50%,67.90%,(X),100.00%,86.30%,(X),93.40%,40.40%,(X),-,-,(X),83.30%,66.70%,(X),-,-,(X),51.80%,8.40%,(X),100.00%,50.00%,(X),74.70%,25.80%
        Margin of Error,,(X),±6.1,±14.4,(X),±11.0,±11.1,(X),±3.6,±9.3,(X),**,**,(X),±24.5,±26.4,(X),**,**,(X),±18.3,±12.7,(X),±52.0,±28.3,(X),±20.7,±15.8
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,336,316,158,196,196,152,457,406,198,0,0,0,9,9,5,0,0,0,66,32,0,0,0,0,206,152,6
        Margin of Error,,±136,±134,±77,±97,±97,±78,±105,±93,±69,±13,±13,±13,±11,±11,±7,±13,±13,±13,±46,±32,±13,±13,±13,±13,±127,±124,±9
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),94.00%,47.00%,(X),100.00%,77.60%,(X),88.80%,43.30%,(X),-,-,(X),100.00%,55.60%,(X),-,-,(X),48.50%,0.00%,(X),-,-,(X),73.80%,2.90%
        Margin of Error,,(X),±9.9,±24.5,(X),±18.4,±18.2,(X),±6.7,±13.6,(X),**,**,(X),±100.0,±54.1,(X),**,**,(X),±26.4,±40.5,(X),**,**,(X),±24.4,±4.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,228,228,225,148,148,145,568,551,216,0,0,0,15,11,11,0,0,0,100,54,14,40,40,20,190,144,96
        Margin of Error,,±99,±99,±98,±60,±60,±58,±136,±133,±64,±13,±13,±13,±14,±11,±11,±13,±13,±13,±65,±39,±16,±31,±31,±19,±104,±98,±96
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,98.70%,(X),100.00%,98.00%,(X),97.00%,38.00%,(X),-,-,(X),73.30%,73.30%,(X),-,-,(X),54.00%,14.00%,(X),100.00%,50.00%,(X),75.80%,50.50%
        Margin of Error,,(X),±16.0,±4.0,(X),±23.4,±5.8,(X),±2.7,±9.5,(X),**,**,(X),±36.4,±36.4,(X),**,**,(X),±15.3,±19.9,(X),±52.0,±28.3,(X),±19.1,±35.6
"Census Tract 20.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,436,377,249,248,247,210,"1,123",961,414,0,0,0,78,78,39,0,0,0,725,118,51,30,30,21,848,198,54
        Margin of Error,,±144,±148,±98,±96,±96,±92,±231,±182,±126,±13,±13,±13,±75,±75,±33,±13,±13,±13,±332,±81,±59,±24,±24,±19,±318,±123,±32
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),86.50%,57.10%,(X),99.60%,84.70%,(X),85.60%,36.90%,(X),-,-,(X),100.00%,50.00%,(X),-,-,(X),16.30%,7.00%,(X),100.00%,70.00%,(X),23.30%,6.40%
        Margin of Error,,(X),±14.1,±19.4,(X),±1.1,±9.6,(X),±11.6,±9.6,(X),**,**,(X),±37.2,±50.0,(X),**,**,(X),±11.7,±7.5,(X),±60.1,±38.5,(X),±15.9,±4.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,201,171,148,143,142,119,603,473,231,0,0,0,41,41,18,0,0,0,413,53,30,18,18,9,427,38,29
        Margin of Error,,±73,±70,±65,±61,±61,±56,±191,±128,±106,±13,±13,±13,±47,±47,±19,±13,±13,±13,±218,±73,±50,±19,±19,±13,±209,±27,±26
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),85.10%,73.60%,(X),99.30%,83.20%,(X),78.40%,38.30%,(X),-,-,(X),100.00%,43.90%,(X),-,-,(X),12.80%,7.30%,(X),100.00%,50.00%,(X),8.90%,6.80%
        Margin of Error,,(X),±14.5,±15.4,(X),±2.0,±11.9,(X),±18.6,±15.2,(X),**,**,(X),±51.4,±56.1,(X),**,**,(X),±17.8,±12.1,(X),±77.5,±50.0,(X),±8.3,±7.3
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,235,206,101,105,105,91,520,488,183,0,0,0,37,37,21,0,0,0,312,65,21,12,12,12,421,160,25
        Margin of Error,,±119,±123,±49,±48,±48,±47,±116,±113,±62,±13,±13,±13,±31,±31,±18,±13,±13,±13,±171,±36,±29,±14,±14,±14,±181,±123,±27
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),87.70%,43.00%,(X),100.00%,86.70%,(X),93.80%,35.20%,(X),-,-,(X),100.00%,56.80%,(X),-,-,(X),20.80%,6.70%,(X),100.00%,100.00%,(X),38.00%,5.90%
        Margin of Error,,(X),±15.0,±25.6,(X),±30.6,±12.5,(X),±4.1,±9.2,(X),**,**,(X),±54.1,±44.7,(X),**,**,(X),±15.2,±8.6,(X),±95.0,±95.0,(X),±27.7,±6.0
"Census Tract 20.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,097","1,085",965,912,900,850,"1,465","1,383",685,6,6,6,51,51,51,0,0,0,86,71,22,250,250,144,489,474,249
        Margin of Error,,±383,±383,±344,±332,±333,±335,±369,±364,±308,±11,±11,±11,±42,±42,±42,±13,±13,±13,±73,±67,±30,±229,±229,±170,±219,±217,±183
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.90%,88.00%,(X),98.70%,93.20%,(X),94.40%,46.80%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),82.60%,25.60%,(X),100.00%,57.60%,(X),96.90%,50.90%
        Margin of Error,,(X),±1.6,±7.2,(X),±2.0,±6.4,(X),±3.8,±13.8,(X),±100.0,±100.0,(X),±46.1,±46.1,(X),**,**,(X),±28.3,±37.4,(X),±14.7,±45.9,(X),±4.9,±29.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,526,520,427,394,388,355,647,605,294,6,6,6,37,37,37,0,0,0,15,15,15,76,76,76,217,217,157
        Margin of Error,,±169,±168,±143,±139,±139,±138,±207,±207,±130,±11,±11,±11,±36,±36,±36,±13,±13,±13,±27,±27,±27,±108,±108,±108,±125,±125,±120
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.90%,81.20%,(X),98.50%,90.10%,(X),93.50%,45.40%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,72.40%
        Margin of Error,,(X),±2.6,±12.0,(X),±3.5,±12.0,(X),±4.7,±19.7,(X),±100.0,±100.0,(X),±54.1,±54.1,(X),**,**,(X),±84.9,±84.9,(X),±37.7,±37.7,(X),±16.8,±31.6
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,571,565,538,518,512,495,818,778,391,0,0,0,14,14,14,0,0,0,71,56,7,174,174,68,272,257,92
        Margin of Error,,±237,±238,±230,±221,±221,±216,±267,±260,±260,±13,±13,±13,±23,±23,±23,±13,±13,±13,±69,±62,±14,±159,±159,±75,±177,±174,±85
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.90%,94.20%,(X),98.80%,95.60%,(X),95.10%,47.80%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),78.90%,9.90%,(X),100.00%,39.10%,(X),94.50%,33.80%
        Margin of Error,,(X),±1.9,±4.9,(X),±2.1,±4.5,(X),±5.7,±18.8,(X),**,**,(X),±87.9,±87.9,(X),**,**,(X),±36.3,±24.7,(X),±20.4,±47.5,(X),±9.1,±31.5
"Census Tract 21.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,751,653,602,596,596,563,"2,540","2,448","1,094",38,38,38,122,122,75,0,0,0,399,71,35,149,149,29,697,271,79
        Margin of Error,,±270,±230,±202,±208,±208,±195,±468,±467,±353,±52,±52,±52,±130,±130,±76,±19,±19,±19,±344,±72,±45,±147,±147,±42,±411,±212,±80
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),87.00%,80.20%,(X),100.00%,94.50%,(X),96.40%,43.10%,(X),100.00%,100.00%,(X),100.00%,61.50%,(X),-,-,(X),17.80%,8.80%,(X),100.00%,19.50%,(X),38.90%,11.30%
        Margin of Error,,(X),±15.7,±16.1,(X),±6.5,±8.3,(X),±2.8,±10.8,(X),±53.4,±53.4,(X),±27.3,±23.0,(X),**,**,(X),±22.3,±14.2,(X),±23.2,±30.4,(X),±27.8,±11.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,440,384,384,384,384,384,"1,226","1,173",499,0,0,0,47,47,0,0,0,0,72,36,0,116,116,29,204,112,5
        Margin of Error,,±182,±155,±155,±155,±155,±155,±293,±293,±234,±19,±19,±19,±62,±62,±19,±19,±19,±19,±82,±54,±19,±132,±132,±42,±169,±126,±11
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),87.30%,87.30%,(X),100.00%,100.00%,(X),95.70%,40.70%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),50.00%,0.00%,(X),100.00%,25.00%,(X),54.90%,2.50%
        Margin of Error,,(X),±18.9,±18.9,(X),±9.9,±9.9,(X),±3.8,±15.2,(X),**,**,(X),±48.0,±48.0,(X),**,**,(X),±50.0,±38.8,(X),±28.4,±40.3,(X),±40.8,±6.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,311,269,218,212,212,179,"1,314","1,275",595,38,38,38,75,75,75,0,0,0,327,35,35,33,33,0,493,159,74
        Margin of Error,,±160,±150,±114,±108,±108,±96,±337,±336,±285,±52,±52,±52,±76,±76,±76,±19,±19,±19,±311,±45,±45,±55,±55,±19,±344,±157,±79
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),86.50%,70.10%,(X),100.00%,84.40%,(X),97.00%,45.30%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),10.70%,10.70%,(X),100.00%,0.00%,(X),32.30%,15.00%
        Margin of Error,,(X),±15.1,±19.0,(X),±17.1,±22.4,(X),±3.8,±15.0,(X),±53.4,±53.4,(X),±38.0,±38.0,(X),**,**,(X),±18.1,±18.1,(X),±57.3,±57.3,(X),±31.2,±16.5
"Census Tract 21.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,624,565,542,495,495,495,"2,589","2,482","1,212",83,0,0,37,37,37,0,0,0,811,453,87,119,119,95,"1,058",558,169
        Margin of Error,,±167,±134,±136,±119,±119,±119,±412,±433,±343,±126,±19,±19,±36,±36,±36,±19,±19,±19,±373,±380,±107,±81,±81,±76,±375,±384,±133
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),90.50%,86.90%,(X),100.00%,100.00%,(X),95.90%,46.80%,(X),0.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),55.90%,10.70%,(X),100.00%,79.80%,(X),52.70%,16.00%
        Margin of Error,,(X),±12.5,±17.1,(X),±7.8,±7.8,(X),±2.7,±9.6,(X),±35.9,±35.9,(X),±54.1,±54.1,(X),**,**,(X),±26.9,±12.6,(X),±27.9,±30.1,(X),±22.3,±12.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,349,334,311,273,273,273,995,963,350,27,0,0,17,17,17,0,0,0,466,236,44,90,90,78,587,315,100
        Margin of Error,,±117,±111,±110,±99,±99,±99,±205,±207,±131,±41,±19,±19,±26,±26,±26,±19,±19,±19,±245,±236,±55,±57,±57,±56,±246,±241,±76
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),95.70%,89.10%,(X),100.00%,100.00%,(X),96.80%,35.20%,(X),0.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),50.60%,9.40%,(X),100.00%,86.70%,(X),53.70%,17.00%
        Margin of Error,,(X),±6.0,±14.6,(X),±13.6,±13.6,(X),±3.0,±11.6,(X),±63.3,±63.3,(X),±79.8,±79.8,(X),**,**,(X),±35.7,±12.3,(X),±34.1,±21.9,(X),±28.2,±13.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,275,231,231,222,222,222,"1,594","1,519",862,56,0,0,20,20,20,0,0,0,345,217,43,29,29,17,471,243,69
        Margin of Error,,±72,±48,±48,±44,±44,±44,±329,±342,±304,±85,±19,±19,±26,±26,±26,±19,±19,±19,±176,±162,±53,±33,±33,±30,±179,±163,±62
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),84.00%,84.00%,(X),100.00%,100.00%,(X),95.30%,54.10%,(X),0.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),62.90%,12.50%,(X),100.00%,58.60%,(X),51.60%,14.60%
        Margin of Error,,(X),±20.6,±20.6,(X),±16.4,±16.4,(X),±3.2,±11.8,(X),±44.0,±44.0,(X),±73.6,±73.6,(X),**,**,(X),±19.5,±14.2,(X),±61.1,±55.9,(X),±21.4,±12.5
"Census Tract 22.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,831,771,596,658,658,558,"1,250","1,171",471,23,23,0,64,64,50,0,0,0,296,131,67,135,97,94,487,262,120
        Margin of Error,,±293,±274,±213,±232,±232,±194,±344,±348,±222,±26,±26,±13,±58,±58,±55,±13,±13,±13,±362,±160,±92,±132,±131,±131,±381,±184,±105
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),92.80%,71.70%,(X),100.00%,84.80%,(X),93.70%,37.70%,(X),100.00%,0.00%,(X),100.00%,78.10%,(X),-,-,(X),44.30%,22.60%,(X),71.90%,69.60%,(X),53.80%,24.60%
        Margin of Error,,(X),±6.7,±13.6,(X),±5.9,±11.7,(X),±5.5,±11.8,(X),±68.6,±68.6,(X),±41.1,±36.4,(X),**,**,(X),±18.7,±16.2,(X),±43.2,±45.6,(X),±18.1,±14.7
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,399,345,251,303,303,251,660,611,271,0,0,0,47,47,33,0,0,0,105,79,67,75,75,75,216,136,82
        Margin of Error,,±160,±134,±104,±126,±126,±104,±202,±199,±130,±13,±13,±13,±41,±41,±35,±13,±13,±13,±142,±113,±92,±104,±104,±104,±170,±131,±96
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),86.50%,62.90%,(X),100.00%,82.80%,(X),92.60%,41.10%,(X),-,-,(X),100.00%,70.20%,(X),-,-,(X),75.20%,63.80%,(X),100.00%,100.00%,(X),63.00%,38.00%
        Margin of Error,,(X),±11.9,±17.2,(X),±12.3,±13.0,(X),±6.8,±13.4,(X),**,**,(X),±48.0,±43.3,(X),**,**,(X),±16.6,±13.7,(X),±38.0,±38.0,(X),±21.9,±24.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,432,426,345,355,355,307,590,560,200,23,23,0,17,17,17,0,0,0,191,52,0,60,22,19,271,126,38
        Margin of Error,,±157,±158,±129,±122,±122,±110,±209,±210,±162,±26,±26,±13,±26,±26,±26,±13,±13,±13,±254,±75,±13,±49,±28,±27,±258,±95,±55
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.60%,79.90%,(X),100.00%,86.50%,(X),94.90%,33.90%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),27.20%,0.00%,(X),36.70%,31.70%,(X),46.50%,14.00%
        Margin of Error,,(X),±2.1,±10.9,(X),±10.6,±12.0,(X),±5.2,±19.4,(X),±68.6,±68.6,(X),±79.8,±79.8,(X),**,**,(X),±14.4,±18.8,(X),±47.8,±47.5,(X),±30.1,±25.6
"Census Tract 22.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,419,376,300,354,332,284,"1,196","1,163",535,7,7,0,24,24,24,0,0,0,268,184,40,34,34,16,333,228,56
        Margin of Error,,±120,±107,±93,±97,±99,±85,±291,±290,±190,±13,±13,±13,±25,±25,±25,±13,±13,±13,±108,±113,±41,±36,±36,±22,±113,±111,±44
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),89.70%,71.60%,(X),93.80%,80.20%,(X),97.20%,44.70%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),68.70%,14.90%,(X),100.00%,47.10%,(X),68.50%,16.80%
        Margin of Error,,(X),±10.5,±16.8,(X),±9.6,±14.5,(X),±2.8,±11.1,(X),±100.0,±100.0,(X),±67.2,±67.2,(X),**,**,(X),±21.8,±15.7,(X),±56.4,±52.9,(X),±18.9,±13.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,182,169,139,169,169,139,553,527,284,0,0,0,7,7,7,0,0,0,169,119,0,18,18,0,182,119,0
        Margin of Error,,±68,±60,±51,±60,±60,±51,±176,±174,±147,±13,±13,±13,±12,±12,±12,±13,±13,±13,±119,±119,±13,±29,±29,±13,±116,±119,±13
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),92.90%,76.40%,(X),100.00%,82.20%,(X),95.30%,51.40%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),70.40%,0.00%,(X),100.00%,0.00%,(X),65.40%,0.00%
        Margin of Error,,(X),±10.1,±17.7,(X),±20.9,±17.4,(X),±5.8,±23.2,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±36.6,±20.9,(X),±77.5,±77.5,(X),±37.8,±19.6
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,237,207,161,185,163,145,643,636,251,7,7,0,17,17,17,0,0,0,99,65,40,16,16,16,151,109,56
        Margin of Error,,±76,±68,±65,±67,±64,±62,±206,±205,±112,±13,±13,±13,±24,±24,±24,±13,±13,±13,±49,±43,±41,±22,±22,±22,±74,±60,±44
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),87.30%,67.90%,(X),88.10%,78.40%,(X),98.90%,39.00%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),65.70%,40.40%,(X),100.00%,100.00%,(X),72.20%,37.10%
        Margin of Error,,(X),±14.1,±20.0,(X),±17.4,±16.9,(X),±1.6,±13.9,(X),±100.0,±100.0,(X),±79.8,±79.8,(X),**,**,(X),±47.4,±47.0,(X),±82.2,±82.2,(X),±32.3,±31.7
"Census Tract 23.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,716,716,681,670,670,635,"1,428","1,274",577,0,0,0,67,67,60,0,0,0,245,233,158,86,86,86,376,364,268
        Margin of Error,,±127,±127,±128,±128,±128,±129,±342,±332,±251,±13,±13,±13,±55,±55,±50,±13,±13,±13,±156,±177,±112,±77,±77,±77,±175,±194,±136
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.10%,(X),100.00%,94.80%,(X),89.20%,40.40%,(X),-,-,(X),100.00%,89.60%,(X),-,-,(X),95.10%,64.50%,(X),100.00%,100.00%,(X),96.80%,71.30%
        Margin of Error,,(X),±5.4,±4.0,(X),±5.8,±4.3,(X),±5.8,±11.0,(X),**,**,(X),±40.2,±14.4,(X),**,**,(X),±16.4,±15.2,(X),±35.1,±35.1,(X),±8.9,±11.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,399,399,377,372,372,350,385,361,223,0,0,0,36,36,36,0,0,0,153,147,105,24,24,24,211,205,142
        Margin of Error,,±99,±99,±99,±98,±98,±99,±129,±123,±123,±13,±13,±13,±32,±32,±32,±13,±13,±13,±95,±102,±85,±28,±28,±28,±102,±109,±92
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.50%,(X),100.00%,94.10%,(X),93.80%,57.90%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),96.10%,68.60%,(X),100.00%,100.00%,(X),97.20%,67.30%
